GLOBALID,OBJECTID,JUNCTION_ID,JUNCTION_TYPE,Segmentation Reason,Municipal Code,x,y
2c040629-b22a-4f1e-947e-b1e43410d768,1,4363,1,,HRM,-7083310.2355,5537835.9522
78da35eb-96aa-404f-8680-e098cc50f97f,2,1000930,1,,HRM,-7103438.2586,5581798.0095
b5ce3d9d-1255-42ad-aa45-9a7ebf7ba838,3,5045,2,,HRM,-7081319.9857,5563334.7247
087e7865-5cc0-4a7e-8e80-9d62826fc8a7,4,5025,2,,HRM,-7081426.0609,5558865.6471
9fd5dda0-d4d9-474e-9dd3-a63e7e7aa35f,5,7637,1,,HRM,-7073802.8205,5578914.1647
6b57ce95-4bb4-44e5-b57a-84de38e35049,6,6381,1,,HRM,-7078186.3863,5569860.5947
165daa2b-9569-4d12-884c-0877e5642f02,7,3542,1,,HRM,-7085746.298,5570641.7416
d543353c-f40b-4cfb-aab0-bc8fb2e5880b,8,3328,1,,HRM,-7086461.3051,5579777.4601
84f5f4ce-9779-4eeb-bfd4-9a42f8d4f665,9,1506,1,,HRM,-7095753.821,5567406.6808
8fc21760-79c8-4961-911f-ea6121b236c9,10,1000332,0,OWN,HRM,-7061090.3754,5573458.755
4c8c5a90-8832-40a8-acbb-26105691919a,11,6336,2,,HRM,-7078307.3572,5570191.914
e10673d9-dbc3-47a6-ad30-bd47b6fe2868,12,9332,2,,HRM,-7064520.6017,5574990.572
6d5edee5-d807-41fb-b707-90b58ac0d32c,13,8203,1,,HRM,-7072116.3902,5571372.2757
8abff5c6-3864-4d1d-95d4-0591e0738975,14,4041,1,,HRM,-7083935.3832,5567967.0133
8f6e9c49-1aa4-42aa-8f15-dbaec2ed861e,15,272,1,,HRM,-7116269.4644,5566098.3348
70cc14cd-70e8-478a-9682-331e8d97ade8,16,7253,1,,HRM,-7074932.2937,5598527.0435
0f8d039e-cb53-40d7-8c03-0ad9e11d5ac3,17,77374,1,,HRM,-7055621.8097,5581200.3236
20162adf-2019-477e-b5b4-c31b60431103,18,4025,1,,HRM,-7083990.0414,5567012.1597
a6eeda0e-5994-48ad-a6e2-02f7f58bdc0e,19,2163,1,,HRM,-7090873.8148,5564648.5306
6db30145-600c-4d82-8554-0d0cdb1cee90,20,3104,1,,HRM,-7087310.6183,5578827.2448
ed1c5c22-2748-41f4-9248-26dd1c185478,21,9168,1,,HRM,-7066160.1396,5566837.5001
b49aecd3-84a7-431f-9439-3b20df52ca2a,22,10772,2,,HRM,-7002548.9366,5641194.3169
4ec44e83-6351-441a-b81d-9c3f4bbba413,23,54757,1,,HRM,-7076280.1724,5572958.3401
fa4dae29-8acb-4f4d-9d4d-80bb40f94b5f,24,1000574,1,,HRM,-7083624.7941,5594587.3214
b72c4447-b965-4ee4-8cab-f73b386254b1,25,28161,0,OWN,HRM,-7047892.4621,5580791.3694
eb22ee80-128f-4638-8db3-1706ecad59c5,26,5475,1,,HRM,-7080321.3324,5576745.3472
cfdcf3ba-aa8b-4062-a9e5-433ddb1c50ac,27,7602,1,,HRM,-7074011.2871,5571696.7579
1b998b24-238c-4031-9db5-dae1bdfe3a99,28,6200,6,,HRM,-7078616.3978,5568014.792
397370bf-9292-4860-8fb2-16a63183b8d6,29,6882,1,,HRM,-7076790.5818,5570272.0492
f64d4947-7663-41af-b239-f3db9be7ff36,30,3980,1,,HRM,-7084119.1567,5566458.3625
febb219f-54ea-4034-b7bc-6d5b307891c6,31,77391,1,,HRM,-7078249.1844,5566533.425
25138c7c-aeec-47cb-8274-b8c2c8da80ce,32,1001603,2,,HRM,-7065357.6025,5604021.4826
a79766dd-f9cc-4490-a5a3-682768f39ce5,33,7016,1,,HRM,-7076370.4712,5560104.7055
b911132e-6135-4b98-bac4-c5b1877adf8b,34,4134,1,,HRM,-7083759.2476,5554043.4021
b898fe5f-83ff-4217-ac43-f6d9f132ca02,35,6308,1,,HRM,-7077993.5592,5602226.3233
61a0bf0f-159a-4adf-88eb-7dac3d56c49e,36,26248,1,,HRM,-7065964.5174,5581444.593
00ad843a-2981-4bfa-baeb-bad5366304e6,37,537,6,,HRM,-7111248.9712,5572719.6446
c12aadc6-9454-4173-8501-fb00e1e417b0,38,9519,2,,HRM,-7060372.7103,5572930.976
822bc8e1-12d1-4b77-8607-98f9c8153b48,39,5635,1,,HRM,-7080389.5126,5539418.816
ded9e106-6a76-4ac0-8289-8f610e152d30,40,2570,1,,HRM,-7088897.2137,5593816.2703
4bfce2c7-dbdd-43fb-87a0-21b6cd12efbd,41,44240,5,,HRM,-7082085.6456,5568064.01
4df92c75-6872-4882-907b-45294345e469,42,8688,1,,HRM,-7068817.1141,5570269.5743
b41aa95b-a021-4f13-8349-ac6d21534fac,43,9522,2,,HRM,-7060289.8251,5567249.8614
655da8eb-0b89-41ea-937a-a6d77d195a89,44,1000397,5,,HRM,-7088388.0195,5570084.1952
fed0ab14-43fe-4322-a7e0-8b920c45b464,48,1000956,2,,HRM,-7085027.8451,5538280.782
97dd34cc-ea49-494b-8786-2388bf513d5b,49,3872,1,,HRM,-7084525.3795,5568270.6785
c4d3878b-355a-4f29-a2fc-4335fff38b7e,50,8796,1,,HRM,-7068132.2755,5573565.51
e2968096-1596-44e4-b174-ffda47e1f813,51,6920,7,,HRM,-7076700.771,5566102.4939
27c22006-d456-4261-8173-cb67d3e0c52f,52,4865,1,,HRM,-7081763.0302,5562418.7012
31e365fe-7ae0-4dc6-951c-27daac0aff43,53,8879,2,,HRM,-7067516.5521,5570984.0679
bba51cee-5af9-471b-8571-a1879930c053,54,7254,1,,HRM,-7075258.1563,5569587.3101
7b6bfa69-dd61-42c1-b316-2b3b453b4dee,55,2465,1,,HRM,-7089275.737,5586985.3022
cc544fe6-e1be-43e6-83c6-d227729a6308,56,765,1,,HRM,-7106059.2211,5577394.5642
8b5ccb12-56bc-4366-818e-40b4a991754b,57,9913,1,,HRM,-7048268.216,5569281.9814
cf548db4-c546-435d-b9a1-9cc37f25fb80,58,1001689,1,,HRM,-7084644.6591,5555979.2819
c89ab9fe-e458-4513-a1f5-401843e4825e,59,5409,6,,HRM,-7080471.1066,5574163.8822
47fa0597-485d-4694-9af6-0970ee3e709a,60,144,2,,HRM,-7119538.5274,5567276.4347
d93c08d5-6cdb-4b1c-9d64-a36ef00950e2,61,74293,2,,HRM,-7050507.7276,5581384.9786
fde67d67-6c78-4d6b-8102-f8dd110ba417,62,9219,0,GSA,HRM,-7065053.0328,5617857.0655
4c926ed2-fecd-4c54-a59b-149ecfc4808c,63,4912,1,,HRM,-7081594.2986,5567390.9554
c8180920-8ef0-4294-8beb-12621e560d2d,64,9736,1,,HRM,-7055505.9179,5581549.39
3d56806c-8ad3-46c3-be1a-66b1c1f91c76,65,8326,1,,HRM,-7071282.6681,5563772.7138
c82c064e-3b69-4820-99fe-712f519802ce,66,8281,1,,HRM,-7071489.0411,5571147.8079
dd44e01b-863d-4c1f-b4ed-712ee0c616e5,67,5074,1,,HRM,-7081172.8407,5569713.4635
d800bce5-3e8d-4961-8999-a9b09c65e1ce,68,464,1,,HRM,-7113102.8561,5572629.4435
b8ab4874-5b72-46a0-8631-ba70722b8809,69,60515,1,,HRM,-7084479.764,5590169.6716
13b69c9e-fad5-43b0-97b0-6081e5514e84,70,10976,2,,HRM,-6963680.7137,5598571.2952
e6d966eb-a60b-4a6b-a7a8-1f315a83ddfb,71,1001597,1,,HRM,-7083200.9905,5563874.2832
29e2fd6a-3e31-4544-be27-5b20364c9988,72,2706,1,,HRM,-7088648.6076,5575900.9926
1811fa1c-52d6-4d28-9758-c3cbc0b2fde8,73,43952,1,,HRM,-7080837.0761,5566202.6778
47361c9c-1cf3-4b9d-a6a8-68e69264a766,74,8030,1,,HRM,-7072844.3534,5569789.414
ce849a80-f119-4ff2-ad0c-399341c8b096,75,25297,0,OWN,HRM,-7075456.0864,5554447.2859
b8f01de2-7e5b-43df-b9be-5f89f89bccfb,76,3682,1,,HRM,-7085173.6488,5566138.3789
ed9e9e02-9b38-44c6-99c3-b74ff69df1da,77,47097,1,,HRM,-7084605.4467,5582265.4913
71158bac-21f8-461a-a667-7d8a937a7e30,78,999994,1,,HRM,-7065135.4755,5575186.4307
e332c45a-1c13-4c8d-a81a-24701358de32,79,1122,1,,HRM,-7100551.0156,5570314.6134
896fbcf9-6d4a-4fcb-bc9f-c9ad9e750745,80,2698,0,NAME,HRM,-7088650.5825,5578574.6243
6fb7b9b4-3d03-435a-8c86-3a7f2403f180,81,455,0,NAME,HRM,-7113301.5623,5576115.0371
