GLOBALID,OBJECTID,Traffic Calming ID,AssetID,Traffic Calming Category,Asset Code,Asset Owner,General Location,Install Year,Material,Asset Description,Asset Status,Location,Maintained By,Add Date,Modified Date,Source Date,Data Source,Source Accuracy,x,y
a62f85f3-e33c-4b3d-8ad3-e443e3d45740,1,TRCLM69,TRCLM69,VERTI,SPDHMP,HRM,ROW,2018,ASPH,,INS,GLEN ARBOUR WAY,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:26 PM,,Traffic Management,,-7100070.934,5582363.7814
2af6e656-ceef-415a-bfb0-a782d0a94873,3,TRCLM1581,TRCLM1581,VERTI,SPDTBL,HRM,ROW,2024,ASPH,,INS,Union Street,HRM,6/19/2023 9:05:40 PM,12/13/2024 6:31:36 PM,,,,-7086727.0926,5579379.0709
346c2c7c-e448-4000-9944-6e17c8362167,5,TRCLM601,TRCLM601,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,CRANBERRY CRES,HRM,11/18/2021 7:44:17 PM,11/23/2021 4:48:03 PM,11/18/2021 4:00:00 AM,Traffic Management,,-7069154.6853,5572189.6191
12df5070-b08f-4341-ae4d-03d3c4e65eca,6,TRCLM660,TRCLM660,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,HENRY AVE,HRM,11/19/2021 9:20:34 PM,9/29/2022 9:24:39 PM,4/14/2022 3:00:00 AM,Traffic Management,,-7080019.2262,5594554.0251
953aa1d7-734a-4aad-9517-95c80483d593,7,TRCLM162,TRCLM162,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,SANDY RUN,HRM,10/7/2021 3:57:03 PM,6/7/2024 9:24:23 PM,,Traffic Management,,-7098637.172,5583978.7483
e8831452-de7d-4396-aded-76e25614326e,9,TRCLM963,TRCLM963,VERTI,SPDCSH,HRM,ROW,2022,ASPH,,INS,ROBIE ST,HRM,2/3/2022 10:29:37 PM,10/26/2022 9:44:55 PM,6/22/2022 3:00:00 AM,Traffic Management,,-7080781.7265,5568668.9395
54e5dee1-66b7-4fb2-9610-bf41a9e8957a,11,TRCLM231,TRCLM231,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,CONCORD AVE,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:26 PM,,Traffic Management,,-7082596.6628,5590627.1292
8f9c4633-73d5-47ec-9aa1-242ce04630b7,12,TRCLM310,TRCLM310,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,CAPILANO DR,HRM,10/27/2021 2:38:33 PM,9/3/2024 9:09:48 PM,6/3/2022 3:00:00 AM,Traffic Management,,-7087031.4708,5589790.9981
c1dd0e9d-a4bf-4cc5-a77f-c568f5bd1873,13,TRCLM396,TRCLM396,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,CORNWALL ST,HRM,11/15/2021 7:05:37 PM,11/15/2021 7:06:35 PM,11/15/2021 4:00:00 AM,Traffic Management,,-7079634.423,5565318.327
676c15cb-25b7-46de-8608-8ab00d20af36,14,TRCLM924,TRCLM924,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,SOUTHGATE DR,HRM,12/16/2021 11:12:09 PM,12/16/2021 11:12:40 PM,12/16/2021 4:00:00 AM,Traffic Management,,-7088521.6503,5575416.239
