GLOBALID,OBJECTID,Traffic Control ID,Location,Traffic Control Type,Install Year,Signalization Responsibility,Accessible Pedestrian Signals,Accessible Pedestrian Buttons,Leading Pedestrian Interval,Leading Pedestrian Interval Install Year,Add Date,Modified Date,Source Date,Data Source,Source Accuracy,x,y
31c08ed3-6c5f-4a71-a8f7-8ed078872f16,1,TRFCON870,LACEWOOD DR - WILLETT ST,6,,HRM,Y,Y,Y,2021,7/8/2021 2:11:10 PM,7/8/2021 7:59:56 PM,7/8/2021 12:22:50 PM,Traffic Management,IN,-7086335.1011,5568486.2737
9a979367-b454-4084-8325-66907d411633,2,TRFCON542,SACKVILLE DR - SPRINGFIELD AVE - FENERTY RD,7,,HRM,N,N,,,7/8/2021 2:11:10 PM,7/8/2021 3:39:43 PM,7/8/2021 12:22:50 PM,Traffic Management,IN,-7095178.485,5590066.7707
1f17b2eb-35c6-4aca-9663-e47af2b898e9,3,TRFCON1058,OLD SACKVILLE RD/WALKER AVE,10,2023,,,,,,3/22/2023 5:54:06 PM,3/22/2023 5:54:51 PM,3/22/2023 3:00:00 AM,TRAFFIC MANAGEMENT,IN,-7090687.0106,5585288.3445
630618b5-49a3-42e3-bb97-aa5113525fcf,4,TRFCON552,SOUTH ST - WELLINGTON ST,10,,HRM,N,N,,,7/8/2021 2:11:10 PM,7/8/2021 3:40:07 PM,7/8/2021 12:22:50 PM,Traffic Management,IN,-7077782.7235,5564625.6891
088dd02b-44f6-4287-baec-bb921c961226,5,TRFCON987,HAMMONDS PLAINS RD - SMITHS RD,6,,PROV,N,N,N,,7/8/2021 2:11:10 PM,7/8/2021 8:33:28 PM,7/8/2021 12:22:50 PM,Traffic Management,IN,-7090032.5401,5578238.0663
391c0c5f-9d38-49cd-9022-258966ce0dc7,6,TRFCON1099,Beaver Bank Rd/Grove Ave,10,2023,,,,,,9/29/2023 2:00:12 PM,9/29/2023 2:02:37 PM,9/29/2023 3:00:00 AM,Traffic Management,IN,-7088993.7495,5593428.6766
55c3c7ae-f0a1-42ca-9eca-ef598a8d5a59,7,TRFCON813,HAMMONDS PLAINS RD - TA9 RD (UNDER REVIEW),6,,PROV,N,N,N,,7/8/2021 2:11:10 PM,7/8/2021 8:33:43 PM,7/8/2021 12:22:50 PM,Traffic Management,IN,-7108614.8973,5574811.1496
b2b5cd35-c5f4-47f0-b1bf-4157c770105f,8,TRFCON727,INGLIS ST - TOWER RD,6,,HRM,Y,Y,Y,,7/8/2021 2:11:10 PM,7/8/2021 7:47:59 PM,7/8/2021 12:22:50 PM,Traffic Management,IN,-7077470.7751,5564067.2587
ea842e87-861d-4987-bb30-88c15b0afa85,9,TRFCON846,OXFORD ST - QUINPOOL RD,6,,HRM,N,N,Y,2022,7/8/2021 2:11:10 PM,4/12/2022 3:41:43 PM,7/8/2021 12:22:50 PM,Traffic Management,IN,-7079951.6824,5565734.5172
92bb9b0e-b071-43f1-b0b3-2e3c428e3222,10,TRFCON613,ALMON ST - CONNAUGHT AVE,6,,HRM,N,N,N,,7/8/2021 2:11:10 PM,7/8/2021 8:33:15 PM,7/8/2021 12:22:50 PM,Traffic Management,IN,-7081051.1059,5566417.8895
